genre,title,rating,num_ratings
Children,"Muppet Christmas Carol, The (1992)",3.74,19
Children,Elf (2003),3.69,39
Animation,Creature Comforts (1989),4.25,12
Animation,Mary and Max (2009),4.20,10
Animation,Persepolis (2007),4.18,11
Animation,Grave of the Fireflies (Hotaru no haka) (1988),4.16,16
Animation,Ghost in the Shell (Kôkaku kidôtai) (1995),4.15,27
Animation,Batman: Mask of the Phantasm (1993),4.12,13
Animation,"Girl Who Leapt Through Time, The (Toki o kakeru shôjo) (2006)",4.10,10
Animation,Wallace & Gromit: The Wrong Trousers (1993),4.04,56
Animation,Metropolis (2001),3.96,13
Animation,My Neighbor Totoro (Tonari no Totoro) (1988),3.96,37
Documentary,"Fog of War: Eleven Lessons from the Life of Robert S. McNamara, The (2003)",4.31,13
Documentary,Hoop Dreams (1994),4.29,29
Documentary,Inside Job (2010),4.29,12
Documentary,Crumb (1994),4.21,17
Documentary,"Thin Blue Line, The (1988)",4.00,11
Documentary,Spellbound (2002),3.92,13
Documentary,"King of Kong, The (2007)",3.92,12
Documentary,When We Were Kings (1996),3.90,10
Documentary,"Corporation, The (2003)",3.90,10
Documentary,Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),3.86,11
Fantasy,Brazil (1985),4.18,59
Fantasy,"Evil Dead, The (1981)",3.82,22
Fantasy,Fantastic Beasts and Where to Find Them (2016),3.68,14
Fantasy,Sleepy Hollow (1999),3.48,62
Fantasy,Dracula (Bram Stoker's Dracula) (1992),3.47,29
Fantasy,"Prophecy, The (1995)",3.46,12
Fantasy,"Ninth Gate, The (1999)",3.20,15
Fantasy,Silent Hill (2006),2.96,12
Fantasy,"Twilight Saga: Eclipse, The (2010)",2.45,10
Fantasy,Queen of the Damned (2002),2.36,11
Horror,"Shining, The (1980)",4.08,109
Horror,Alien (1979),3.97,146
Horror,"Omen, The (1976)",3.82,22
Horror,"Exorcist, The (1973)",3.80,53
Horror,Invasion of the Body Snatchers (1956),3.77,13
Horror,Night of the Living Dead (1968),3.75,28
Horror,Halloween (1978),3.72,27
Horror,Get Out (2017),3.63,15
Horror,"Birds, The (1963)",3.60,44
Horror,28 Weeks Later (2007),3.60,21
Thriller,Spotlight (2015),4.16,19
Thriller,"Fugitive, The (1993)",3.99,190
Thriller,Cape Fear (1991),3.78,25
Thriller,"Dead Zone, The (1983)",3.73,15
Thriller,10 Cloverfield Lane (2016),3.68,14
Thriller,Sleepers (1996),3.67,29
Thriller,Red Rock West (1992),3.64,11
Thriller,"Perfect Murder, A (1998)",3.28,16
Thriller,Arlington Road (1999),3.27,22
Thriller,Dead Calm (1989),3.17,12
Western,High Plains Drifter (1973),4.18,11
Western,Little Big Man (1970),4.15,24
Western,True Grit (2010),3.75,28
Western,The Hateful Eight (2015),3.75,18
Western,Wyatt Earp (1994),3.10,21
Sci-Fi,Interstellar (2014),3.99,73
Sci-Fi,Arrival (2016),3.98,26
Sci-Fi,Limitless (2011),3.95,30
Sci-Fi,Blade Runner 2049 (2017),3.81,18
Sci-Fi,Contagion (2011),3.71,12
Sci-Fi,2010: The Year We Make Contact (1984),3.59,17
Sci-Fi,Dawn of the Planet of the Apes (2014),3.43,15
Sci-Fi,Sphere (1998),2.76,23
Sci-Fi,"Island of Dr. Moreau, The (1996)",2.74,27
Sci-Fi,Mission to Mars (2000),2.69,21
Musical,Meet Me in St. Louis (1944),4.10,10
Musical,"Sound of Music, The (1965)",3.94,64
Musical,"American in Paris, An (1951)",3.71,12
Film-Noir,Notorious (1946),4.25,20
Film-Noir,"Third Man, The (1949)",4.23,24
Film-Noir,"Maltese Falcon, The (1941)",4.17,44
Romance,"Adjustment Bureau, The (2011)",3.17,21
Romance,Meet Joe Black (1998),3.05,20
